corpus,split,layout,utts_in_text,segments,recordings_in_wav_scp,recordings_resolved,recordings_path_as_given,recordings_unresolved,verifiable_utts,unique_recordings,unique_monologue_speakers,unique_stereo_channels,utts_with_no_speaker_label,fam_monologue,fam_stereo_channel,fam_vendor,fam_unknown,hours,lost_no_segment,lost_not_in_wav_scp,lost_audio_missing,lost_empty_transcript,utt2spk_degenerate,utt2spk_rows,band_WB,band_NB,band_duplicate_recordings
SPRING_INX_Assamese_R1,train,segmented,38707,38707,259,259,0,0,38707,259,0,22,37682,0,1025,37682,0,50.56,0,0,0,0,38707,38707,0,0,0
SPRING_INX_Assamese_R1,dev,segmented,3843,3843,255,255,0,0,3843,255,0,20,3753,0,90,3753,0,5.12,0,0,0,0,3843,3843,0,0,0
SPRING_INX_Assamese_R1,eval,segmented,3845,3845,256,256,0,0,3845,256,0,21,3761,0,84,3761,0,4.97,0,0,0,0,3845,3845,0,0,0
SPRING_INX_Assamese_R1_cleaned,train,segmented,38702,38702,259,259,259,0,38702,259,0,22,37677,0,1025,37677,0,50.55,0,0,0,0,38702,38702,0,0,0
SPRING_INX_Assamese_R1_cleaned,dev,segmented,3842,3842,255,255,255,0,3842,255,0,20,3752,0,90,3752,0,5.11,0,0,0,0,3842,3842,0,0,0
SPRING_INX_Assamese_R1_cleaned,eval,segmented,3845,3845,256,256,256,0,3845,256,0,21,3761,0,84,3761,0,4.97,0,0,0,0,3845,3845,0,0,0
SPRING_INX_Assamese_R3,train,segmented,126336,126336,1879,1879,0,0,126336,1599,0,0,126336,0,0,126336,0,298.27,0,0,0,0,126336,126336,1362,517,280
SPRING_INX_Assamese_R3,dev,segmented,1092,1092,19,19,19,0,1092,19,0,0,1092,0,0,1092,0,2.86,0,0,0,0,1092,1092,12,7,0
SPRING_INX_Assamese_R3,eval,segmented,3834,3834,60,60,60,0,3834,60,0,0,3834,0,0,3834,0,9.4,0,0,0,0,3834,3834,38,22,0
SPRING_INX_Assamese_R3_cleaned,train,segmented,126201,126201,1879,1879,0,0,126201,1598,0,0,126201,0,0,126201,0,298.02,0,0,0,0,126201,126201,1362,517,280
SPRING_INX_Assamese_R3_cleaned,dev,segmented,1092,1092,19,19,19,0,1092,19,0,0,1092,0,0,1092,0,2.86,0,0,0,0,1092,1092,12,7,0
SPRING_INX_Assamese_R3_cleaned,eval,segmented,3832,3832,60,60,60,0,3832,60,0,0,3832,0,0,3832,0,9.4,0,0,0,0,3832,3832,38,22,0
SPRING_INX_Bengali_R1,train,segmented,164373,164373,1778,1778,0,0,164373,1778,0,326,139978,0,24395,139978,0,374.73,0,0,0,0,164373,164373,0,0,0
SPRING_INX_Bengali_R1,dev,segmented,17458,17458,1761,1761,0,0,17458,1761,0,325,14849,0,2609,14849,0,40.02,0,0,0,0,17458,17458,0,0,0
SPRING_INX_Bengali_R1,eval,segmented,2196,2196,1169,1169,0,0,2196,1169,0,203,1849,0,347,1849,0,5.02,0,0,0,0,2196,2196,0,0,0
SPRING_INX_Bengali_R1_cleaned,train,segmented,164312,164312,1778,1778,1778,0,164312,1778,0,326,139928,0,24384,139928,0,374.65,0,0,0,0,164312,164312,0,0,0
SPRING_INX_Bengali_R1_cleaned,dev,segmented,17453,17453,1761,1761,1761,0,17453,1761,0,325,14846,0,2607,14846,0,40.01,0,0,0,0,17453,17453,0,0,0
SPRING_INX_Bengali_R1_cleaned,eval,segmented,2196,2196,1169,1169,1169,0,2196,1169,0,203,1849,0,347,1849,0,5.02,0,0,0,0,2196,2196,0,0,0
SPRING_INX_Bengali_R2,train,segmented,112957,112957,1060,1060,0,0,112957,1060,0,0,112957,0,0,112957,0,272.55,0,0,0,0,112957,112957,0,0,0
SPRING_INX_Bengali_R2,dev,segmented,12370,12370,1057,1057,0,0,12370,1057,0,0,12370,0,0,12370,0,29.74,0,0,0,0,12370,12370,0,0,0
SPRING_INX_Bengali_R2,eval,segmented,2092,2092,842,842,0,0,2092,842,0,0,2092,0,0,2092,0,5.04,0,0,0,0,2092,2092,0,0,0
SPRING_INX_Bengali_R2_cleaned,train,segmented,112922,112922,1060,1060,1060,0,112922,1060,0,0,112922,0,0,112922,0,272.52,0,0,0,0,112922,112922,0,0,0
SPRING_INX_Bengali_R2_cleaned,dev,segmented,12370,12370,1057,1057,1057,0,12370,1057,0,0,12370,0,0,12370,0,29.74,0,0,0,0,12370,12370,0,0,0
SPRING_INX_Bengali_R2_cleaned,eval,segmented,2092,2092,842,842,842,0,2092,842,0,0,2092,0,0,2092,0,5.04,0,0,0,0,2092,2092,0,0,0
SPRING_INX_Marathi_R1,train,segmented,84266,84266,23753,23753,0,0,84266,23753,76,70,58337,23062,2867,22009,36328,130.36,0,0,0,0,47938,84266,0,0,0
SPRING_INX_Marathi_R1,dev,segmented,9317,9317,3196,3196,0,0,9317,3196,76,65,6445,2527,345,2462,3983,14.37,0,0,0,0,5334,9317,0,0,0
SPRING_INX_Marathi_R1,eval,segmented,3267,3267,1494,1494,1494,0,3267,1494,76,54,2253,910,104,869,1384,5.16,0,0,0,0,1883,3267,0,0,0
SPRING_INX_Marathi_R1_cleaned,train,segmented,84266,84159,23753,23753,23753,0,84159,23753,76,70,58230,23062,2867,22007,36223,130.08,107,0,0,0,47936,84159,0,0,0
SPRING_INX_Marathi_R1_cleaned,dev,segmented,9303,9303,3196,3196,3196,0,9303,3196,76,65,6431,2527,345,2462,3969,14.33,0,0,0,0,5334,9303,0,0,0
SPRING_INX_Marathi_R1_cleaned,eval,segmented,3260,3260,1494,1494,0,0,3260,1494,76,54,2246,910,104,868,1378,5.14,0,0,0,0,1882,3260,0,0,0
SPRING_INX_Marathi_R1_final,train,segmented,59263,59263,23344,23344,23344,0,59263,23344,76,0,36201,23062,0,0,36201,74.18,0,0,0,0,23062,59263,0,0,0
SPRING_INX_Marathi_R1_final,dev,segmented,6493,6493,2809,2809,2809,0,6493,2809,76,0,3966,2527,0,0,3966,8.09,0,0,0,0,2527,6493,0,0,0
SPRING_INX_Marathi_R1_final,eval,segmented,2286,2286,1170,1170,1170,0,2286,1170,76,0,1376,910,0,0,1376,2.9,0,0,0,0,910,2286,0,0,0
SPRING_INX_Marathi_R2,train,segmented,86914,86914,1070,1070,0,0,86914,1070,0,0,86914,0,0,86914,0,207.89,0,0,0,0,86914,86914,0,0,0
SPRING_INX_Marathi_R2,dev,segmented,10282,10282,1064,1064,0,0,10282,1064,0,0,10282,0,0,10282,0,24.52,0,0,0,0,10282,10282,0,0,0
SPRING_INX_Marathi_R2,eval,segmented,2196,2196,870,870,0,0,2196,870,0,0,2196,0,0,2196,0,5.15,0,0,0,0,2196,2196,0,0,0
SPRING_INX_Marathi_R2_cleaned,train,segmented,86907,86907,1070,1070,0,0,86907,1070,0,0,86907,0,0,86907,0,207.88,0,0,0,0,86907,86907,0,0,0
SPRING_INX_Marathi_R2_cleaned,dev,segmented,10282,10282,1064,1064,0,0,10282,1064,0,0,10282,0,0,10282,0,24.52,0,0,0,0,10282,10282,0,0,0
SPRING_INX_Marathi_R2_cleaned,eval,segmented,2196,2196,870,870,0,0,2196,870,0,0,2196,0,0,2196,0,5.15,0,0,0,0,2196,2196,0,0,0
